Top 50%,,,,,,,,,,,,,,,,
Template,,,,,,,,,,,,,,,,
,-15dB,24 contacts,y3,0.833333333333,0.833333333333,0.666666666667,0.5,,,-15dB,24 contacts,y3,,,,
,-20dB,32 contacts,y4,0.75,0.625,0.625,0.375,,,-20dB,32 contacts,y4,,,,
,,40 contacts,y5,0.6,0.8,0.7,0.4,,,,40 contacts,y5,,,,
,,,TOTAL,12.208333333333,,,,,,,,TOTAL,0,,,
PSD,,,,,,,,,OLD CIM,,,,,,,
,x,y,,x1,x2,x3,x4,,,x,y,,x1,x2,x3,x4
,-5dB,8 contacts,y1,1,1,0.5,0.5,,,-5dB,8 contacts,y1,,,,
,-10dB,16 contacts,y2,1,0.25,0.5,0.5,,,-10dB,16 contacts,y2,,,,
,-15dB,24 contacts,y3,0.833333333333,0.666666666667,0.666666666667,0.5,,,-15dB,24 contacts,y3,,,,
,-20dB,32 contacts,y4,0.75,0.5,0.375,0.25,,,-20dB,32 contacts,y4,,,,
,,40 contacts,y5,0.6,0.6,0.4,0.3,,,,40 contacts,y5,,,,
,,,TOTAL,11.691666666667,,,,,,,,TOTAL,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TOTAL,0,,,
REF_AVERAGE,,,,,,,,,OLD CIM,,,,,,,
,x,,,x1,x2,x3,x4,,,x,y,,x1,x2,x3,x4
,-5dB,8 contacts,y1,1,0.833333333333333,0.5,0.666666666666667,,,-5dB,8 contacts,y1,,,,
,-10dB,16 contacts,y2,0.5,0.25,0.5,0.5,,,-10dB,16 contacts,y2,,,,
,-15dB,24 contacts,y3,0.777777777777667,0.777777777777667,0.722222222222333,0.444444444444333,,,-15dB,24 contacts,y3,,,,
,-20dB,32 contacts,y4,0.666666666666667,0.541666666666667,0.541666666666667,0.333333333333333,,,-20dB,32 contacts,y4,,,,
,,40 contacts,y5,0.566666666666667,0.7,0.6,0.366666666666667,,,,40 contacts,y5,,,,
,,,TOTAL,11.7888888888887,,,,,,,,TOTAL,0,,,
