Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8
8.8534,10.8,11.792,9.4811,8.3759,8.7048,9.0355,9.4168,102,26,1,110,165,137,66,73,-8.342,-7.25,-8.1927,-12.207,-8.4125,-8.8305,-10.177,-9.3159,3.3393,3.3985,3.4968,3.6305,3.1473,3.8298,3.8169,3.7435,2.7366,3.0484,3.2864,3.1545,2.8654,2.3863,2.5243,2.5441,-0.09916699999999999,0.16204000000000002,0.34145,-0.12539,-0.0019114999999999998,-0.006169399999999999,-0.17601,-0.07191399999999999,6.4947,6.437,6.4362,6.4114,6.6049,6.5948,6.5231,6.5041
11.435,7.932,8.0205,11.280999999999999,11.193,10.117,9.0681,8.7594,58,114,125,155,79,195,40,13,-9.7316,-11.341,-10.247,-8.1836,-11.985999999999999,-8.7727,-9.5992,-9.8352,3.5844,3.4601,3.3345,3.3451,3.8448,3.5585,3.6486,3.6112,3.2795,3.3431,2.8515,3.6099,3.1928,2.8888,2.6319999999999997,2.952,0.024838,-0.42906000000000005,-0.086685,0.39629000000000003,-0.054862,0.16940999999999998,-0.12369000000000001,-0.31061,6.393,6.4448,6.4657,6.3824,6.4913,6.5374,6.4891,6.5469
8.6772,9.1477,8.5692,7.3392,9.2404,9.298,12.792,7.7716,119,3,156,40,195,86,181,51,-8.47,-10.097999999999999,-12.079,-10.171,-11.065,-10.677999999999999,-12.352,-9.0217,3.6234,3.4794,3.6852,3.5254,3.5614,3.8463,3.9131,3.5265,2.5995,3.1634,3.109,2.6891,3.0532,2.784,3.1069,2.7449,0.10885,-0.1975,-0.23754,-0.21603000000000003,-0.33139,-0.22974,-0.090576,-0.12382,6.6493,6.4331,6.4242,6.5567,6.5574,6.5498,6.3152,6.6772
12.863,8.5325,8.7454,10.880999999999998,11.465,9.312000000000001,9.4257,8.5289,162,182,191,16,19,85,184,146,-7.9367,-11.277000000000001,-10.96,-8.7845,-10.211,-9.3286,-9.5364,-9.3412,3.595,3.7724,3.5832,3.6522,3.4671,3.4024,3.4595,3.6546,3.0909,2.9902,3.2906,2.9777,3.2483,2.9703,2.957,2.5024,0.091153,-0.24894000000000002,-0.23226,0.15037999999999999,0.092902,-0.018227,-0.12775,-0.00086849,6.5861,6.4832,6.5018,6.5903,6.4188,6.5382,6.4793,6.6136
8.3323,8.184,10.637,8.826,9.4554,8.6697,9.4958,8.3701,58,154,74,104,188,180,90,93,-10.312000000000001,-8.7773,-8.131,-10.287,-12.798,-9.0179,-9.2247,-8.3077,3.8176,3.2398,3.6336,3.4533,3.574,3.5463,3.5878,3.6403,2.5479,2.6351,3.0894,2.8525,3.4209,2.5764,2.6267,2.4855,0.0025419,-0.055720000000000006,0.32306,-0.34933000000000003,-0.10890999999999999,-0.0026341999999999997,-0.01877,-0.026818,6.6444,6.5903,6.5965,6.5297,6.3225,6.502999999999999,6.5277,6.6979
8.501,10.535,9.4419,9.3335,7.5623,9.8608,9.3148,9.1275,125,24,9,177,196,10,127,198,-8.9467,-8.5607,-8.5589,-10.959000000000001,-11.04,-9.6365,-9.673,-8.5071,3.7406,3.6517,3.6588,3.9144,3.2801,3.535,3.5664,3.6988,2.7041,3.0348,2.5192,2.8442,3.0743,2.8603,3.0346,2.5731,-0.13267,0.2631,0.039786,-0.1566,-0.25678,0.048186,-0.048198000000000005,0.074019,6.6681,6.6098,6.6182,6.5855,6.5172,6.4836,6.4275,6.6787
7.311,13.523,9.9288,11.185,10.935,7.7297,9.9674,10.046,68,198,33,149,118,144,1,45,-10.610999999999999,-9.8273,-11.602,-7.715,-11.375,-13.828,-9.508,-9.508,3.7358,3.6305,3.6756,3.3983,3.5329,3.2011,3.7035,3.8016,2.7033,3.3231,3.2113,3.0854,3.2165,3.9371,2.7463,2.6286,-0.31187,-0.034497,-0.033438999999999997,0.091056,0.027596,-0.18782000000000001,0.008068899999999999,0.040645999999999995,6.6621,6.4816,6.4313,6.5075,6.3599,6.3111,6.6479,6.5723
11.425,9.5551,9.2957,9.9158,8.9189,10.84,11.748,11.663,67,65,60,98,143,82,196,150,-8.9294,-10.045,-8.8722,-11.129000000000001,-9.472999999999999,-11.787,-8.7463,-8.9334,3.7943,3.5945,3.6022,3.6847,3.7011,3.7816,3.6059,3.4405,3.1034,3.0098,2.9975,2.8972,2.7268,3.2502,3.5472,3.2754,0.27093,-0.2406,-0.10690999999999999,0.009932999999999999,-0.021775,-0.058026999999999995,0.32757,0.15863,6.5674,6.5003,6.5458,6.4079999999999995,6.518,6.4741,6.4635,6.4462
9.4254,11.193,11.865,8.9344,9.9016,7.6195,11.829,10.187999999999999,166,38,5,59,33,146,14,173,-10.866,-12.607999999999999,-12.254000000000001,-8.3115,-10.147,-10.958,-7.9946,-8.8008,3.6601,3.8287,3.8104,3.6158,3.7245,3.3657,3.7363,3.5594,2.9669,3.3703,3.3821,2.3612,2.9205,2.7030000000000003,2.7826,3.1612,-0.16785,-0.060895000000000005,0.091803,0.081647,-0.087393,-0.24584,0.19082000000000002,0.083355,6.4806,6.3931,6.3732,6.6864,6.4423,6.5479,6.4928,6.5406
7.7744,9.1893,9.6031,9.6408,9.0196,7.7929,14.017000000000001,10.904000000000002,6,188,133,109,57,138,124,133,-11.475999999999999,-10.885,-10.489,-11.200999999999999,-10.529000000000002,-9.5162,-9.9653,-8.4743,3.5802,3.4971,3.7645,3.6260000000000003,3.3234,3.3116,3.8885,3.3661,2.8842,2.9969,2.7378,3.2617,3.452,2.8887,3.3942,3.2019,-0.26394,-0.16041,-0.11216,-0.2319,-0.059952,-0.27829,-0.08125299999999999,0.32727,6.5236,6.4316,6.6549,6.3847,6.3755,6.5405,6.329,6.4637
9.2802,11.155999999999999,12.342,8.5143,10.552999999999999,8.3065,9.6833,10.236,138,200,82,74,110,36,9,21,-11.299000000000001,-8.2959,-11.145999999999999,-9.1439,-8.571,-8.1772,-9.2406,-12.705,3.6392,3.3467,3.6748,3.4017,3.6858,3.452,3.6933,3.9461,3.1005,3.2568,3.1757,2.8887,3.0069,2.4646,2.8863,3.234,-0.22261,0.030133999999999998,0.090388,-0.055779999999999996,0.17153,0.15107,0.09131,-0.094302,6.3283,6.4453,6.4028,6.4786,6.4774,6.5098,6.6054,6.4426
11.18,9.1081,9.0422,8.3509,10.407,10.572000000000001,10.720999999999998,8.8467,78,112,37,104,188,40,153,199,-7.7919,-9.4496,-10.257,-9.6148,-11.209000000000001,-11.616,-9.827,-11.709000000000001,3.4586,3.5767,3.7974,3.4455,3.5948,3.438,3.4222,3.5756,2.9357,2.9889,2.5321,2.7877,3.2013,3.4095,3.3636,3.0515,0.1917,-0.0046672,-0.07357000000000001,0.049826,-0.14565,-0.050251,0.05223,0.04362,6.4094,6.3181,6.5182,6.5967,6.354,6.3868,6.4229,6.4106
9.6968,9.821,10.636,8.6676,9.6632,8.012,10.15,13.725,37,98,58,167,25,144,105,92,-9.1617,-11.687999999999999,-8.9693,-7.9439,-9.7857,-9.1481,-9.7103,-9.7553,3.4411,3.7687,3.4393,3.4835,3.7314,3.2239999999999998,3.5775,3.5587,2.9539,2.9438,3.3323,2.61,2.9299,2.8602,3.0077,3.5395,-0.16809000000000002,0.020543000000000002,0.34433,-0.046649,0.13057,-0.012243,0.062041,0.18394000000000002,6.398,6.4171,6.4785,6.6454,6.535,6.5141,6.5825,6.2772
9.3555,10.321,8.9529,8.5354,11.034,8.922,12.682,8.2427,178,69,60,10,92,104,121,63,-9.2237,-9.3527,-10.01,-9.3888,-9.4669,-10.215,-9.6563,-10.183,3.3886,3.5971,3.4979,3.4588,3.6505,3.6789,3.9447,3.2843,2.9712,2.8528,2.8721,2.6094,2.7102,2.991,3.6283,3.3756,-0.024062,0.060089,0.0018593,-0.11192,0.11143,0.16218,0.29805,0.004088800000000001,6.5593,6.5416,6.5106,6.5767,6.516,6.5082,6.4678,6.4491
11.165,7.5268,7.976,12.564,12.29,11.477,9.1183,8.6551,34,196,63,143,183,129,86,144,-9.4335,-8.9798,-9.0747,-9.9087,-11.442,-10.17,-10.607999999999999,-12.408,3.716,3.6424,3.6595,3.6066,3.7062,3.6824,3.2777,3.7628,2.8308,2.3052,2.6887,3.1364,3.5924,3.1069,3.1711,3.0842,0.2283,-0.054241,-0.038888,0.15091,-0.059203,0.22284,-0.045118,-0.1179,6.4435,6.6716,6.6669,6.4429,6.3474,6.4439,6.4118,6.4101
9.2721,10.26,10.988,9.8643,9.7809,10.142999999999999,10.099,9.6463,188,29,58,58,27,44,109,151,-10.023,-9.0819,-13.571,-9.1449,-12.839,-9.4058,-8.1729,-9.754,3.5945,3.8096,3.7051,3.5551,3.9686,3.7881,3.5111,3.5856,2.8396,3.0337,3.4182,3.2224,2.766,2.7996,2.681,2.7798,0.025221,0.0030469,-0.042849,-0.11219000000000001,-0.10284000000000001,0.2274,0.017855000000000003,0.07433,6.4854,6.6055,6.2893,6.5088,6.5509,6.5742,6.4729,6.5941
9.4173,11.734000000000002,9.227,9.3611,10.105,13.048,9.2636,8.4726,175,131,180,190,171,134,113,146,-10.132,-15.517000000000001,-10.437000000000001,-8.4901,-7.5777,-9.8739,-10.369000000000002,-7.8636,3.4664,4.1387,3.764,3.5623,3.4133,3.6318,3.5536,3.3672,2.9287,3.802,2.5628,2.6462,2.8294,3.0733,2.841,2.7705,-0.09901900000000001,-0.44043999999999994,0.16083,0.10155,0.29872,0.19812000000000002,-0.15896,0.18585,6.4347,6.2465,6.7158,6.4531,6.5369,6.4678,6.5842,6.6384
9.0947,8.3271,9.3646,9.573,10.533,8.0251,10.482999999999999,13.288,176,116,109,156,194,130,198,104,-8.1582,-8.013,-9.524,-9.895,-10.44,-9.1978,-9.3609,-9.3047,3.3683,3.4752,3.5422,3.6548,3.7831,3.3121,3.5463,3.6204,2.7064,2.5199,2.9085,3.1482,2.65,2.6713,2.8784,3.4139999999999997,-0.030026,-0.059634000000000006,-0.031233999999999998,-0.029586,-0.13559000000000002,-0.16644,0.21166,-0.0066915,6.5269,6.6339,6.5211,6.5398,6.4949,6.5788,6.5242,6.3869
10.626,9.1866,10.494000000000002,8.5086,12.523,9.2207,10.216000000000001,9.7555,8,111,79,21,183,75,17,4,-8.9952,-9.0453,-10.375,-12.945,-8.2653,-9.3249,-10.542,-10.444,3.4339999999999997,3.6701,3.9045,3.9756,3.6729,3.5584,3.4214,3.5028,3.1201,2.7021,2.9554,2.8041,3.2131,2.6568,3.1982,2.9223,-0.012081,-0.048738,-0.022131,-0.1965,0.21791,0.12024000000000001,0.065068,0.093891,6.5287,6.5667,6.5763,6.5198,6.4735,6.5482,6.4383,6.4336
7.3157,10.328,13.963,10.857000000000001,8.5336,7.5981,12.365,9.5851,61,32,193,136,121,68,179,88,-11.347000000000001,-10.494000000000002,-11.214,-12.012,-13.76,-10.626,-10.107000000000001,-9.8374,3.4973,3.5878,3.5938,3.5101,3.792,3.4159,3.6563,3.6294,2.9358,3.1371,4.2576,3.0402,3.1195,2.6994,3.3252,2.7497,-0.15564,-0.17163,0.15943,-0.19525,-0.23576999999999998,0.045212999999999996,0.091791,-0.14002,6.5972,6.3788,6.2614,6.3293,6.4565,6.5698,6.4816,6.5308
10.084,9.3193,8.9589,9.8041,8.6265,8.6901,8.0549,7.996,72,8,72,83,57,136,142,59,-13.873,-9.6653,-9.2927,-11.130999999999998,-9.2999,-11.025,-9.5729,-8.6401,3.3096,3.6014,3.3608,3.9304,3.5957,3.6354,3.342,3.2314,3.9134,2.8908,2.9560000000000004,3.1572,2.7372,2.8932,2.7676,2.8252,-0.038556,-0.051279,0.010326,-0.17995,0.018319,-0.056824,-0.033787,-0.019303,6.2099,6.4663,6.5213,6.4685,6.5762,6.4575,6.5305,6.6554
9.656,9.3726,9.8664,8.6365,8.1102,10.815999999999999,10.300999999999998,9.9559,179,76,17,181,87,118,117,197,-8.9392,-8.2846,-10.759,-10.543,-9.785,-9.8195,-8.917,-9.0407,3.2775,3.4521,3.7433,3.5601,3.4425,3.4781,3.6833,3.5862,2.9181,2.737,2.9323,2.7929,2.8941,3.2381,2.7465,2.8107,0.06168099999999999,0.0085008,0.13112000000000001,0.086751,-0.14898,0.18811,-0.011767,0.089861,6.4555,6.611000000000001,6.5026,6.505,6.5113,6.4642,6.5982,6.468
9.0954,8.6154,10.552,9.5664,11.017999999999999,12.357999999999999,7.9883,9.9045,77,169,168,58,181,160,60,2,-10.255999999999998,-9.3842,-12.054,-8.9089,-9.8438,-8.7869,-8.741,-11.045,3.61,3.5775,3.5867,3.361,3.7193,3.4318,3.6152,3.2404,2.7052,2.8252,3.1844,3.1744,2.8051,3.5008,2.4378,3.4617,0.049798,-0.19268,-0.086815,0.23158,-0.10987999999999999,0.22741,-0.12340999999999999,-0.033236,6.5503,6.6082,6.3588,6.5274,6.4641,6.4336,6.6365,6.271
7.6668,11.739,11.186,9.2818,8.9739,8.7772,8.9081,9.4479,138,14,49,31,37,12,33,96,-8.5553,-11.985999999999999,-12.322000000000001,-7.8611,-11.027999999999999,-9.2611,-9.8026,-9.2604,3.3421,3.3521,3.4455,3.4273,3.6689999999999996,3.3749,3.7653,3.5698,2.4144,3.6518,3.5646,2.8325,2.6251,2.6841,2.4495,2.8655,-0.11420999999999999,0.1263,0.010198,0.28234000000000004,-0.15552,-0.0017530000000000002,0.1524,0.16282,6.7648,6.2156,6.2743,6.5359,6.4998,6.5497,6.6574,6.5109
9.0545,7.6608,9.7437,10.703,8.9204,10.713,8.9717,8.3248,123,137,50,106,93,191,182,176,-11.019,-12.491,-9.2597,-8.6317,-10.226,-8.9879,-10.614,-10.32,3.8711,3.2924,3.7056,3.6467,3.3688,3.681,3.5238,3.2255,2.5706,3.318,2.9891,2.8259,2.8501,2.7547,2.9389999999999996,3.0389,0.060475,-0.3212,0.058086,0.07130800000000001,-0.19923,-0.093394,-0.41139,0.10867,6.6479,6.4192,6.5436,6.6031,6.3827,6.513,6.3299,6.3555
10.435,9.016,8.5862,12.042,10.909,11.847999999999999,12.802,10.152999999999999,200,120,101,4,39,60,83,132,-9.7481,-8.5622,-13.038,-12.001,-8.6854,-7.8547,-11.019,-9.8474,3.8799,3.4177,3.7314,3.7196,3.9472,3.3105,3.5669,3.7624,2.62,2.7581,2.9337,3.5731,2.8073,3.06,3.8709,3.1660000000000004,0.027739,0.018237,-0.10339000000000001,-0.082604,0.15081,0.27371,0.25911,0.059653,6.5774,6.5987,6.5269,6.3724,6.585,6.4306,6.3345,6.4975
10.119,9.2407,10.546,9.2274,8.3827,8.647,9.2706,7.433,10,119,184,86,171,20,7,38,-16.624000000000002,-11.96,-10.561,-7.9088,-10.687999999999999,-11.397,-8.0592,-9.2177,3.6145,3.5805,3.8363,3.5397,3.6788,3.5013,3.3955,3.3013,4.5598,3.2029,3.022,2.5036,2.9494,2.9166,2.6594,2.6673,-0.37013,-0.22921999999999998,-0.012921,0.023897,-0.19027,-0.17204,0.047336,-0.12991,6.182,6.4435,6.5091,6.5791,6.6435,6.5587,6.4952,6.6621
