Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,Max_13,Max_14,Max_15,Max_16,Max_17,Max_18,Max_19,Max_20,Max_21,Max_22,Max_23,Max_24,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,Min_17,Min_18,Min_19,Min_20,Min_21,Min_22,Min_23,Min_24,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,RMS_17,RMS_18,RMS_19,RMS_20,RMS_21,RMS_22,RMS_23,RMS_24,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Kurtosis_9,Kurtosis_10,Kurtosis_11,Kurtosis_12,Kurtosis_13,Kurtosis_14,Kurtosis_15,Kurtosis_16,Kurtosis_17,Kurtosis_18,Kurtosis_19,Kurtosis_20,Kurtosis_21,Kurtosis_22,Kurtosis_23,Kurtosis_24,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Skew_9,Skew_10,Skew_11,Skew_12,Skew_13,Skew_14,Skew_15,Skew_16,Skew_17,Skew_18,Skew_19,Skew_20,Skew_21,Skew_22,Skew_23,Skew_24,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24
10.957,14.88,12.161,12.945,13.312000000000001,11.379000000000001,17.427,13.913,10.103,10.479000000000001,11.866,10.44,10.123,15.164000000000001,10.448,9.9392,12.213,14.367,12.845999999999998,12.852,12.776,11.532,11.228,13.002,33,53,47,93,114,31,58,169,172,107,87,185,42,189,96,127,69,180,42,14,23,106,53,192,-11.228,-13.98,-12.753,-12.269,-9.8813,-8.9287,-13.787,-12.187000000000001,-15.888,-15.158,-14.183,-10.798,-11.318,-12.872,-14.536,-14.605,-12.369000000000002,-12.315,-13.585,-11.822000000000001,-11.965,-13.695,-15.548,-12.284,4.2961,5.0113,4.5815,4.5847,4.6272,4.1559,4.7165,4.8612,4.5438,4.6653,4.7416,4.5507,4.553999999999999,4.2584,4.348,4.592,4.6102,4.6711,4.8851,4.9795,4.4153,4.5145,4.5728,4.797,2.9293,2.7095,2.9767,2.9358,2.9892,2.4732,3.5873,2.5184,2.7024,3.1046,3.1998,2.4664,2.4972,3.4166,3.1681,3.1299,2.8483,2.9705,2.8258,2.5854,2.8687,3.0207,3.1956,2.5232,0.033842000000000004,0.040995,-0.012034999999999999,0.074035,0.23681999999999997,0.21435,0.39129,-0.089076,-0.09955599999999999,-0.20636999999999997,-0.1585,0.063829,-0.19487000000000002,0.23296,-0.081399,-0.33992,-0.13155,-0.032217,0.14134000000000002,0.072443,-0.11665,-0.23918000000000003,-0.062926,-0.10858,6.6158,6.5707,6.5682,6.5341,6.6632,6.6823,6.4075,6.6764,6.4792,6.5385,6.5569,6.7125,6.7248,6.4175,6.4801,6.6506,6.6397,6.4398,6.5336,6.6967,6.5454,6.5203,6.4634,6.5369
12.811,15.054,12.073,14.75,11.463,11.046,13.876,13.610999999999999,13.752,11.962,12.425999999999998,13.98,15.350999999999999,12.592,12.715,10.216000000000001,11.684000000000001,9.9665,16.015,13.784,14.564,10.685,12.155,12.880999999999998,25,59,180,136,120,137,61,41,167,97,156,26,109,82,71,20,178,87,156,13,108,92,2,12,-15.745999999999999,-12.263,-13.117,-13.421,-10.456,-10.479000000000001,-9.8755,-10.14,-11.194,-14.447000000000001,-12.872,-11.782,-11.218,-13.15,-13.323,-12.347999999999999,-12.465,-15.110999999999999,-9.9787,-12.272,-9.9804,-12.534,-14.821,-13.335,4.7672,4.6241,4.8279,4.7854,4.3501,4.3228,4.3563,4.7342,4.6127,4.3961,4.6257,4.5439,4.7523,4.5744,4.859,4.3715,4.7068,4.5506,4.5786,4.9488,4.498,4.2171,4.3283,4.5146,3.4312,3.0773,2.8492,3.1632,2.5489,2.7116,2.8751,2.6509,3.0294,3.1266,2.761,2.9155,3.1113,3.234,2.8369,2.8272,2.8993,3.1346,2.9428,2.5976,2.7515,2.9601,3.5805,3.1775,-0.076185,-0.12197999999999999,-0.2308,0.24427,0.044929000000000004,0.040563,0.4102,0.11525,0.2255,-0.073536,0.061292,0.0048927,0.13637,0.019509000000000002,0.089934,-0.2092,-0.10405,-0.20245,0.30693000000000004,0.043408999999999996,0.19929000000000002,-0.18662,-0.024165,-0.20424,6.4765,6.5287,6.629,6.4931,6.7162,6.7597,6.5885,6.5811,6.4829,6.4737,6.5195,6.6016,6.6187,6.4981,6.5549,6.6199,6.5975,6.6335,6.4675,6.6160000000000005,6.6267,6.5873,6.478,6.6016
12.921,14.3,11.383,11.171,15.724,10.442,12.657,11.468,12.084000000000001,11.515,14.287,14.161,12.030999999999999,13.935,10.994000000000002,10.389000000000001,12.722000000000001,16.2,10.155,12.79,14.761,14.005,14.046,12.694,129,8,7,96,58,134,118,58,125,155,159,31,101,86,87,127,38,17,152,64,12,121,143,103,-11.248,-11.705,-15.7,-13.588,-10.284,-11.216,-12.012,-14.741,-10.887,-14.9,-12.229000000000001,-15.020999999999999,-12.605,-14.248,-11.52,-14.027000000000001,-12.095,-12.235999999999999,-9.9425,-13.251,-14.785,-10.402999999999999,-14.123,-11.616,4.8834,4.5955,4.7018,4.7003,4.6338,4.6283,4.6057,4.6393,4.5441,4.8272,4.6994,4.3099,4.894,4.6136,4.6743,4.6517,4.7265,4.5933,4.2728,4.6897,4.3239,4.7098,4.7010000000000005,4.6976,2.7164,2.8802,3.5654,2.7204,3.3218,2.4828,2.8771,2.9036,2.8618,3.0714,3.008,4.3835,2.6439,3.2957,2.6483,2.7921,2.6388,3.5775,2.7191,2.6568,3.7164,2.7661,3.1785,2.9608,0.31168,0.22107,-0.13521,-0.21918,0.29903,-0.13136,-0.03373,0.13498,0.14919000000000002,-0.36998000000000003,0.26995,-0.08292999999999999,-0.060113,-0.054296000000000004,0.1578,-0.3122,0.088776,0.28964,0.25019,-0.087394,-0.17915999999999999,-0.027828,0.11519000000000001,0.20783000000000001,6.6160000000000005,6.6316,6.5116,6.5931,6.5272,6.8036,6.5613,6.5654,6.6028,6.4724,6.4898,6.3098,6.6269,6.4914,6.7049,6.5955,6.6367,6.5143,6.7567,6.5411,6.4426,6.7276,6.5360000000000005,6.5798
12.864,13.440999999999999,11.609000000000002,15.213,13.865,14.187000000000001,13.647,11.296,12.084000000000001,12.26,12.997,15.398,15.387,11.568,11.874,12.322000000000001,12.573,12.059000000000001,12.567,11.65,15.059000000000001,13.62,12.806,13.912,117,121,180,57,16,198,83,69,25,7,59,7,45,61,106,80,62,44,64,160,63,9,173,159,-11.557,-11.027000000000001,-13.294,-11.717,-12.088,-11.532,-9.8977,-11.103,-12.625,-10.038,-10.747,-11.040999999999999,-12.579,-13.352,-11.784,-12.700999999999999,-12.364,-11.800999999999998,-12.94,-11.100999999999999,-12.8,-13.774000000000001,-12.485999999999999,-13.267000000000001,4.7754,4.4177,4.7039,5.0032,4.6465,4.5483,4.8988,4.6304,4.7156,4.5062,4.3451,4.5785,4.7109,4.6555,4.352,4.9027,4.6924,4.6807,4.7776,4.5369,4.7691,4.4068,4.7808,4.6791,3.0055,3.3191,2.7828,3.2185,3.0643,3.0693,2.4924,2.4235,2.97,2.7603,3.1147,3.2327,3.4810000000000003,2.8301,2.6727,2.8181,2.6534,2.8075,2.7310000000000003,2.7098,3.2086,3.3369999999999997,2.4605,3.0752,0.093953,0.27902,-0.049294,0.24563000000000001,0.061014,0.13058,-0.046575,0.13935,-0.058413,0.21369000000000002,0.15298,0.14611,0.26571999999999996,-0.14253,0.17833,-0.006291,0.1594,0.12195999999999999,-0.091322,-0.12591,0.082058,0.099826,-0.074024,-0.040839,6.6954,6.6174,6.6497,6.6336,6.5487,6.4704,6.7487,6.6411,6.6692,6.662000000000001,6.5998,6.4228,6.4091,6.5644,6.6559,6.6479,6.5506,6.7292,6.6574,6.7198,6.546,6.521,6.627000000000001,6.5885
13.253,11.452,12.347999999999999,13.357000000000001,11.013,14.249,16.385,10.495999999999999,11.630999999999998,12.535,13.284,14.779000000000002,11.373,10.872,15.972000000000001,11.219000000000001,11.98,12.423,12.1,12.745999999999999,11.33,15.029000000000002,15.025,12.98,36,175,13,73,135,136,89,38,13,136,161,142,50,107,112,196,112,105,37,109,121,67,1,163,-11.640999999999998,-14.472000000000001,-10.769,-13.277999999999999,-16.254,-10.437000000000001,-16.1,-11.585999999999999,-12.377,-12.482999999999999,-10.323,-12.159,-12.364,-13.946,-18.06,-10.552,-9.0817,-14.29,-15.305,-11.285,-11.689,-12.564,-11.668,-12.834000000000001,4.5245,4.3682,4.1983,4.6912,4.6552,4.5589,4.9409,4.4752,4.5249,4.3325,4.6315,4.789,4.3523,4.8180000000000005,4.6348,4.4954,4.5307,4.5763,4.3234,4.8763,4.8021,4.8906,4.3945,4.4129,2.8602,2.9225,3.1744,3.1319999999999997,2.9243,3.0445,3.2399,2.6393,2.7335,2.7428,2.5809,2.7352,3.0475,2.7584,4.0293,2.6812,2.7511,2.9959,3.6464,2.6928,2.7876,2.892,3.2226,3.0168,0.13298,-0.012719,0.090416,0.14549,-0.007298100000000001,0.22215,-0.14607,-0.049979,-0.050191,0.0015777999999999999,-0.074124,0.1675,-0.16204000000000002,-0.20172,-0.27455999999999997,-0.20324,0.47905,0.059726,-0.12559,0.053949000000000004,-0.11782000000000001,-0.11410999999999999,-0.026364999999999996,0.069012,6.5223,6.5654,6.5685,6.5479,6.523,6.5587,6.4011,6.6916,6.7135,6.6267,6.5741,6.622999999999999,6.568,6.7479,6.3246,6.6298,6.6881,6.416,6.5114,6.5916,6.7405,6.5836,6.5398,6.4293
13.747,10.655,12.687000000000001,12.315,9.5301,13.527000000000001,13.935,10.485999999999999,10.086,15.895,16.394000000000002,15.217,18.163,9.1449,16.118,15.877,11.975999999999999,11.027999999999999,12.637,9.638,13.779000000000002,12.12,11.86,13.182,139,58,33,19,178,40,58,82,90,122,30,67,60,37,31,75,27,160,110,51,8,4,27,23,-10.85,-14.164000000000001,-14.192,-13.700999999999999,-11.092,-12.975,-12.129000000000001,-10.392000000000001,-13.86,-12.85,-15.616,-8.6791,-13.556,-13.793,-11.370999999999999,-11.07,-13.245999999999999,-12.712,-13.177,-10.185,-10.939,-10.017999999999999,-11.717,-14.061,4.4003,4.7129,4.8461,4.5625,4.4828,4.7081,4.7208,4.2347,4.4546,4.8841,4.6349,4.2862,4.8099,4.506,4.4588,4.6445,4.543,4.4253,4.6852,4.2726,4.498,4.3385,4.4037,4.7439,3.0407,3.1998,2.8369999999999997,2.9036,2.4893,2.8753,2.95,2.8327,2.9399,3.4432,4.0251,3.2061,3.8157,3.2245,3.4441,3.1049,3.33,2.8525,2.8847,2.5568,2.9594,2.5595,2.5051,2.9098,0.21258000000000002,-0.26537,-0.17561,0.16155,-0.11554,0.13602999999999998,0.11695,-0.11395999999999999,-0.44609,0.33863000000000004,0.039186,0.18934,0.19113,-0.35164,0.27876,0.2434,0.0063588,0.014305000000000002,0.1795,-0.15006,0.16425,0.10382999999999999,-0.026968000000000002,0.20633,6.6387,6.5765,6.5758,6.542999999999999,6.7116,6.566,6.6055,6.6316,6.6249,6.4716,6.348,6.5432,6.3904,6.5936,6.4136,6.5377,6.5418,6.507999999999999,6.5296,6.6872,6.5821,6.7279,6.6279,6.5387
12.017000000000001,15.82,17.692999999999998,14.112,13.429,12.612,14.509,16.544,13.386,14.93,13.12,13.085,15.074000000000002,10.517000000000001,10.642000000000001,10.157,12.32,15.824000000000002,11.183,13.387,12.844000000000001,14.679,13.474,12.026,154,13,60,60,59,30,119,23,158,171,31,46,187,64,117,86,63,62,104,3,171,87,105,168,-11.335999999999999,-14.789000000000001,-15.682,-11.444,-10.144,-11.675,-11.811,-12.15,-11.026,-11.876,-14.664000000000001,-15.25,-12.097999999999999,-14.694,-13.982000000000001,-14.113,-12.617,-16.299,-13.415999999999999,-13.213,-11.722000000000001,-8.4404,-10.972999999999999,-12.264000000000001,4.3234,4.7189,5.2515,4.3067,4.2477,4.5694,5.087,4.7835,4.6376,4.7249,5.1648,4.552,4.4235,4.4176,4.69,4.3082,4.7145,5.0123,4.6913,4.8656,4.6194,4.1763,4.4271,4.746,2.8408,3.5573,3.4919,3.2706,2.7818,2.8658,2.8495,3.2356,3.0895,2.9385,2.8924,3.3905,3.5331,3.0579,3.2692,3.133,2.6632,3.0329,2.7724,2.9044,2.8947,3.3975,2.844,2.628,-0.001201,0.12493,0.29253,0.047608,0.25456999999999996,-0.027183999999999996,0.12755,0.254,0.21609,-0.040749,0.10835,-0.22300999999999999,0.19362000000000001,-0.27338,-0.32943,-0.060182000000000006,-0.021802000000000002,0.10615,-0.08519600000000001,0.048556,0.15056,0.5078699999999999,0.11477000000000001,-0.011787,6.6367,6.4393,6.3089,6.4924,6.5336,6.6155,6.6198,6.486000000000001,6.5641,6.6662,6.6597,6.4435,6.416,6.6021,6.603,6.4721,6.7041,6.4998,6.6333,6.606,6.5818,6.5614,6.5591,6.6349
11.249,11.870999999999999,10.799000000000001,11.745999999999999,12.106,12.052999999999999,14.241,10.634,14.477,15.045,11.535,9.375,14.418,11.232999999999999,14.135,13.767999999999999,14.449000000000002,11.939,11.037,12.624,15.827,12.298,10.415,16.577,193,82,13,190,18,135,29,89,134,163,142,187,66,9,169,16,108,197,145,37,62,62,4,63,-11.187999999999999,-15.001,-10.227,-14.629000000000001,-13.679,-14.737,-12.227,-14.204,-13.497,-12.33,-13.435,-11.092,-11.974,-10.725,-10.445,-12.69,-12.450999999999999,-14.642999999999999,-14.869000000000002,-13.984000000000002,-13.530999999999999,-12.298,-10.152000000000001,-13.737,4.3788,4.637,4.3967,4.6976,4.5657,4.5541,4.4749,4.7849,4.5176,4.5315,4.6517,4.4594,4.8919999999999995,4.3324,4.5413,5.0686,4.66,4.9622,4.4855,5.0089999999999995,5.1160000000000005,4.421,4.2536,4.7162,2.681,2.8636,2.6261,3.0659,2.8357,2.9245,3.0876,2.9192,3.2991,3.3011,3.009,2.6181,3.4266,2.6879,2.5762,2.9696,3.1231,2.8323,3.1039999999999996,3.3025,3.3182,2.8059,2.5783,3.4616,0.18012999999999998,-0.12412000000000001,-0.012775,-0.034891000000000005,-0.21534,-0.047177,0.018581999999999998,-0.090326,-0.14668,0.30245,0.040622000000000005,-0.082539,0.27989,-0.020950999999999997,0.017912,0.070812,0.085191,-0.015307,-0.15113,0.22123,0.14495999999999998,-0.01269,0.051791,0.064612,6.6233,6.6192,6.6931,6.5255,6.5721,6.468999999999999,6.457000000000001,6.6598,6.4747,6.5257,6.4991,6.7143,6.6469,6.6752,6.6849,6.6562,6.4688,6.667000000000001,6.5267,6.5831,6.5569,6.5760000000000005,6.7021,6.4926
14.106,9.5138,12.02,12.333,15.485999999999999,11.035,10.182,13.897,14.034,12.48,10.074,11.415,16.6,8.9759,10.469000000000001,13.259,13.034,12.198,14.104000000000001,12.145,11.963,16.596,13.714,13.157,31,135,177,59,188,125,107,75,136,37,67,36,61,3,49,44,192,11,65,129,64,197,178,154,-13.885,-13.103,-11.290999999999999,-13.814,-12.682,-10.378,-17.652,-14.509,-10.587,-10.136000000000001,-16.0,-11.08,-11.373,-16.497,-14.749,-12.796,-11.005999999999998,-12.762,-14.605,-15.039000000000001,-11.593,-12.321,-14.284,-13.237,5.0564,4.4315,4.6267,4.7783,5.0624,4.612,4.9705,4.3219,4.7058,4.6885,4.649,4.6373,4.6444,4.4712,4.435,4.6717,4.6074,5.0691,4.7642,4.9846,4.1886,4.5401,4.896,4.7062,3.0856,2.4657,2.7466,3.1072,3.0129,2.4656,3.2849,3.3434,2.7931,2.7275,3.2595,2.5525,3.4556,3.5705,3.1579,2.8217,2.9665,2.6353,3.2119,2.8513,2.8908,3.7185,2.8125,3.0588,-0.0769,-0.096947,-0.019794,-0.12569,0.25813,0.036245,-0.42363,0.10321,0.23016999999999999,0.095676,-0.11164,-0.031999,0.44291,-0.35524,-0.29461,-0.031188,0.2409,0.049210000000000004,-0.083359,-0.063273,-0.08720599999999999,0.2647,-0.064153,0.098937,6.593,6.4955,6.6888,6.5943,6.5721,6.7097,6.5791,6.4331,6.6049,6.6792,6.4892,6.6867,6.4381,6.4929,6.4178,6.621,6.6352,6.6821,6.5292,6.5462,6.5039,6.4542,6.5098,6.4837
11.741,11.013,13.982999999999999,11.11,15.536,12.488,14.594000000000001,9.7145,11.783,9.1194,10.23,12.126,10.533,15.073,12.014000000000001,16.168,9.5568,11.890999999999998,12.62,12.57,9.8634,12.027000000000001,10.514000000000001,10.408,62,155,122,186,59,195,15,17,37,182,119,11,49,161,191,61,51,64,102,76,63,191,72,152,-11.958,-14.600999999999999,-9.9828,-15.872,-10.987,-13.77,-15.077,-9.0792,-12.083,-15.704,-13.139000000000001,-12.027000000000001,-16.17,-12.435,-17.813,-12.395,-12.130999999999998,-13.288,-13.600999999999999,-12.559000000000001,-14.148,-13.47,-11.767999999999999,-14.505999999999998,5.0904,4.3149,4.7159,4.6106,4.6644,4.0674,4.8939,3.7017,4.994,4.1448,4.5303,4.5874,4.2514,4.5952,4.896,4.7398,4.3676,4.8061,4.7582,4.7273,4.5637,4.5784,4.2417,4.827,2.5325,2.9717,2.642,3.3528,2.9663,4.3286,3.0953,2.7929,2.3661,3.3356,2.8791,2.9377,3.4057,3.3429,4.2835,3.4019999999999997,2.8769,2.9068,3.0095,2.7662,2.7402,3.2521,2.8551,3.0411,-0.01974,-0.22915,0.19985,-0.21771,0.23279,0.094532,0.092177,0.07032999999999999,-0.086025,-0.3506,-0.28863,-0.20579,-0.1443,0.15369000000000002,-0.54556,0.087933,-0.25709,-0.33234,-0.17798,-0.043903,0.030972000000000003,-0.063827,-0.036568,-0.39502,6.6706,6.5036,6.7386,6.5144,6.5631,6.3804,6.4746,6.568,6.6792,6.4206,6.7054,6.6616,6.556,6.3608,6.4685,6.486000000000001,6.6072,6.5654,6.6216,6.5628,6.6379,6.4895,6.6103,6.6154
