Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8
18.081,19.006,21.994,18.046,18.385,15.227,22.136,17.372,120,91,13,30,25,82,180,16,-20.72,-21.121,-16.285999999999998,-15.943,-17.212,-16.441,-22.986,-21.413,6.675,6.6612,6.2829,6.382999999999999,6.6867,6.7755,7.1782,6.3195,3.2829,3.1830000000000003,3.0838,3.0598,2.7894,2.4126,3.5486,4.2729,-0.13014,0.25849,0.26968000000000003,-0.032472,-0.034617,0.043812000000000004,-0.12696,-0.42756000000000005,6.1867,6.0863,6.1481,6.2187,6.2963,6.397,5.9909,5.9739
16.575,16.951,16.752,19.452,17.586,21.928,12.099,22.788,74,91,64,125,142,46,148,155,-17.102,-19.473,-21.62,-21.683000000000003,-16.405,-21.669,-11.914000000000001,-17.070999999999998,6.9134,6.1336,6.5494,6.5348,7.1692,7.2335,5.8678,6.7841,2.5967,3.5807,3.0331,3.6105,2.5605,3.1368,2.2051,3.0133,-0.011720999999999999,-0.33907,-0.088684,0.11863,0.031514,-0.16532,0.053458000000000006,0.056651,6.3475,6.1432,6.1702,5.9621,6.3555,6.2147,6.575,6.2119
17.896,23.429000000000002,21.479,17.947,17.385,17.756,19.482,19.035,18,136,72,48,187,126,50,58,-23.906,-15.852,-15.73,-15.68,-19.174,-14.788,-21.281,-21.904,6.9373,6.4058,6.3574,5.976,6.1792,6.347,6.7011,6.5182,3.2926,3.589,3.0102,3.1715,3.03,2.5162,3.1654,3.5686,-0.11657000000000001,0.29357,0.062325,0.06622,-0.080728,-0.090139,-0.11052999999999999,-0.06755599999999999,6.1427,6.1656,6.1267,6.1167,6.1949,6.4185,6.0755,6.1245
14.179,23.319000000000003,16.339000000000002,15.48,18.933,24.781999999999996,15.939,19.535999999999998,98,67,5,7,110,137,141,99,-18.218,-21.258000000000003,-17.752,-15.232000000000001,-18.381,-15.440999999999999,-20.312,-16.025,6.3877,7.327999999999999,6.5099,6.4677,6.8676,6.9441,6.6269,6.6042,3.05,3.2005,2.7061,2.5061,2.9094,3.6819,2.9212,3.051,-0.42607,-0.10422999999999999,-0.017179,-0.0074637,0.078319,0.52445,-0.24115,0.29168,6.2688,6.138,6.3103,6.3869,6.1799,6.1955,6.3109,6.2803
15.685,18.807000000000002,15.775,19.15,17.472,17.730999999999998,16.924,17.561,61,126,184,10,72,61,51,137,-16.826,-16.51,-16.125,-18.155,-16.094,-14.970999999999998,-21.778000000000002,-16.489,6.5201,6.8502,6.3636,6.7866,6.5051,6.4854,6.7801,6.5412,2.5123,2.9137,2.4671,2.7477,2.7523,2.5916,3.1406,3.0079,-0.076813,0.062877,0.082439,-0.051779,0.032576999999999995,-0.0026536999999999997,-0.094796,0.29534,6.3335,6.2453,6.4206,6.3537,6.3681,6.3709,6.1124,6.2667
16.073,16.672,20.74,17.986,16.903,16.145,15.378,17.155,144,192,151,150,148,8,42,21,-18.026,-18.892,-15.283,-17.857,-16.602999999999998,-16.215,-23.61,-14.097999999999999,6.2317,7.1736,6.5369,6.8819,6.7985,6.6055,7.2209,6.2415,2.8929,2.5727,2.9139,2.8668,2.9404,2.3854,2.8893,3.1254,-0.0018866,-0.20568000000000003,0.11905,0.10553,0.033221,-0.043104,-0.19769,0.30934,6.3128,6.4503,6.2679,6.3131,6.3878,6.4123,6.2729,6.3016
19.996,16.168,18.345,17.151,19.562,17.78,17.865,23.539,40,127,34,179,145,26,135,37,-15.817,-20.506999999999998,-16.480999999999998,-12.866,-17.089000000000002,-22.035999999999998,-21.750999999999998,-18.483,6.9557,6.5233,6.5747,6.6959,6.834,6.7031,6.9833,7.2387,2.535,3.0638,3.0929,2.7895,3.0367,3.1497,3.1259,3.322,0.17202,-0.08733400000000001,0.21026999999999998,0.23656,0.26016999999999996,-0.091239,-0.18384,0.1195,6.3224,6.2883,6.2599,6.3765,6.1613,6.1415,6.2923,6.2297
18.067999999999998,16.9,17.203,17.97,20.47,14.769,21.842,16.631,175,150,28,168,47,132,149,37,-18.873,-18.746,-17.505,-21.773000000000003,-17.323,-16.793,-22.974,-26.471,6.7661,6.7835,6.643,7.1571,6.6018,6.1569,6.5725,6.7991,3.2485,2.5678,2.9822,3.3316,3.0477,2.8807,4.1286,3.366,-0.14881,-0.056018,0.13233,-0.15784,0.3428,-0.1655,-0.1913,-0.23335,6.2619,6.3206,6.2961,6.2732,6.2139999999999995,6.3058,5.9611,6.0773
19.701,16.615,17.258,23.185,19.910999999999998,15.929,20.505,21.715999999999998,143,166,10,172,200,24,51,105,-16.124000000000002,-19.771,-17.045,-15.373,-18.256,-18.027,-16.69,-28.366,6.9779,6.7147,6.7997,6.6987,7.0892,6.426,6.6193,7.1887,2.957,2.637,2.5235,3.06,2.6902,2.9864,3.1717,3.8480000000000003,0.2026,-0.12932000000000002,-0.15833,0.073857,-0.18409,-0.41677,0.15924000000000002,-0.27524,6.3818,6.3122,6.2769,6.1639,6.2566,6.2537,6.2542,5.9282
19.092,16.155,18.917,20.785999999999998,16.974,18.047,14.408,18.668,16,173,12,159,159,67,104,155,-13.912,-19.996,-17.215999999999998,-18.157,-18.618,-17.662,-16.722,-19.45,6.3353,6.4663,6.9276,6.5725,6.6509,7.1979,5.9695,6.8693,2.8749,3.0239,2.8831,3.2475,2.8934,2.399,2.7796,3.1004,0.31793000000000005,0.1727,0.14752,0.28965,0.026048,0.04792,-0.04415,-0.11784000000000001,6.2751,6.2517,6.2809,6.0573,6.2726,6.2598,6.441,6.2245
