Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8
27.362,35.012,27.521,29.543000000000003,31.688000000000002,28.846999999999998,21.761,40.67,54,25,33,6,4,66,16,19,-33.624,-36.595,-32.302,-31.961,-34.311,-33.378,-36.469,-33.213,11.88,12.488,11.552999999999999,11.575,12.519,11.662,11.269,11.595999999999998,2.6779,3.2702,2.832,2.8798,2.7796,2.9801,2.9112,3.2587,-0.038269,0.040798,-0.08813,-0.16734000000000002,-0.075686,-0.057548,-0.22254000000000002,0.12564,5.6863,5.485,5.6406,5.5804,5.5891,5.5922,5.6475,5.3943
28.2,27.601999999999997,36.333,28.085,33.906,32.189,38.24,34.568000000000005,37,90,32,28,48,27,122,32,-25.495,-36.28,-34.527,-28.38,-32.629,-37.022,-36.957,-32.518,11.697000000000001,12.112,11.777999999999999,11.865,12.353,11.972999999999999,12.136,12.898,2.4713,2.7364,3.1485,2.7030000000000003,3.1099,2.9969,3.1627,2.7796,-0.098373,-0.18745,0.18192,-0.11233,0.27534000000000003,-0.01038,-0.27426999999999996,0.07166499999999999,5.7727,5.5865,5.4746,5.8022,5.5088,5.5208,5.4157,5.5777
32.388000000000005,36.176,34.717,33.148,30.816,30.664,34.384,27.552,21,49,140,16,22,49,61,161,-35.663000000000004,-28.358,-37.865,-35.179,-31.914,-37.852,-33.196,-32.243,11.517000000000001,12.436,12.694,12.222999999999999,11.399000000000001,12.342,12.027999999999999,11.92,3.2029,2.9488,3.2424,3.1508,2.9637,2.9665,2.951,2.9215,0.0040796999999999995,0.17172,0.10412,-0.069471,-0.061261,0.051775999999999996,0.033682,-0.12789,5.4893,5.6351,5.5613,5.4844,5.5012,5.5522,5.5933,5.6899
36.066,41.662,28.243000000000002,30.276999999999997,32.888000000000005,34.239000000000004,26.706,27.299,61,169,50,185,58,25,164,74,-35.858000000000004,-32.766,-29.529,-29.901999999999997,-27.22,-23.785999999999998,-34.454,-23.837,12.459000000000001,12.129000000000001,10.842,11.319,11.253,11.040999999999999,12.29,11.159,2.8716,2.8727,2.7167,3.0869999999999997,2.9119,3.1965,2.5179,2.6797,-0.21053000000000002,0.12149000000000001,-0.024772,-0.18266,-0.006501399999999999,0.37256999999999996,-0.019249000000000002,0.16139,5.5224,5.4311,5.6596,5.6261,5.6389,5.6057,5.7128,5.7860000000000005
38.964,30.739,35.76,30.713,26.77,29.219,28.944000000000003,34.906,155,49,126,66,48,168,41,86,-34.111999999999995,-33.808,-30.048000000000002,-23.313000000000002,-38.608000000000004,-24.761999999999997,-36.306999999999995,-38.602,13.174000000000001,11.93,11.307,11.449000000000002,12.300999999999998,11.514000000000001,11.629000000000001,12.882,2.8622,2.9782,3.1677,2.5671,3.0553,2.5229,3.2707,3.0477,-0.052028,-0.25268,0.25727,0.20338,-0.33369,0.03614,0.032853,-0.01426,5.5553,5.5843,5.4982,5.7586,5.5674,5.7595,5.4897,5.4871
40.894,26.874000000000002,33.446999999999996,43.398999999999994,26.586,29.340999999999998,28.888,39.406,111,72,109,122,19,74,18,30,-26.575,-32.749,-31.026,-48.535,-35.569,-30.281,-36.483000000000004,-37.02,11.942,11.488,11.512,12.258,12.370999999999999,12.207,11.99,11.921,2.9548,2.6701,2.9383,4.2636,2.6332,2.6223,2.8683,3.2714,0.24716999999999997,-0.05811,-0.10715999999999999,-0.067626,-0.10142000000000001,0.027320999999999998,0.016884,-0.14902,5.5263,5.6749,5.5722,5.1498,5.6541,5.7679,5.6201,5.4353
32.429,33.771,42.505,31.579,39.573,29.04,30.831,34.778,73,155,158,122,122,197,158,183,-31.366,-32.535,-35.403,-29.730999999999998,-24.375,-28.683000000000003,-25.848000000000003,-31.419,12.895999999999999,12.390999999999998,12.312999999999999,12.239,11.940999999999999,11.847999999999999,11.035,11.737,2.7278,2.6995,3.3419,2.6715,2.8574,2.8,2.8107,3.161,0.073834,0.028999,-0.1671,-0.059026,0.23865999999999998,0.14776,0.12380999999999999,0.07772799999999999,5.6523,5.6485,5.3682,5.5869,5.6167,5.7368,5.6142,5.4904
35.591,32.425,34.157,43.147,29.320999999999998,44.523999999999994,40.204,29.733,95,154,143,109,96,84,184,98,-34.076,-32.903,-30.088,-27.004,-40.107,-34.031,-31.978,-29.65,10.845999999999998,11.944,11.029000000000002,11.155,11.709000000000001,11.789000000000001,12.542,11.383,3.4848,3.1133,2.9151,3.5095,3.17,3.9424,2.9928,2.5096,-0.033629,-0.1865,0.0060826,0.2876,-0.23071999999999998,0.44752,0.08139500000000001,-0.12093,5.3361,5.5625,5.4627,5.3857,5.4344,5.232,5.4385,5.6657
39.260999999999996,32.283,29.005,32.336999999999996,29.553,25.243000000000002,29.951999999999998,24.813000000000002,60,57,89,47,148,198,47,191,-33.446999999999996,-34.51,-29.954,-36.656,-34.528,-29.69,-34.525,-38.59,10.597000000000001,11.3,12.243,11.853,11.989,10.456,12.683,11.583,3.8624,3.1928,2.8176,3.1367,3.0614,2.7447,2.9437,2.9962,0.1684,0.042713,-0.06324199999999999,-0.13815999999999998,-0.18275999999999998,-0.077253,0.13041,-0.37945,5.2707,5.5395,5.7566,5.3584,5.6251,5.6336,5.6611,5.5372
29.256999999999998,34.736,26.64,28.67,51.488,28.482,33.775,34.0,136,71,136,120,20,166,61,180,-27.889,-25.534000000000002,-29.484,-29.578000000000003,-32.141999999999996,-36.674,-28.838,-31.913,11.895999999999999,11.616,10.833,10.947000000000001,12.937000000000001,12.575999999999999,12.302,12.989,2.5806,2.6635,2.8239,3.0024,3.385,2.7489999999999997,2.8019,2.6831,0.12899000000000002,0.1487,0.097164,0.18731,0.12021,-0.15506,-0.011556,-0.09588300000000001,5.7072,5.6799,5.6745,5.6022,5.3097,5.6365,5.5805,5.6567
