Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,Max_13,Max_14,Max_15,Max_16,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Kurtosis_9,Kurtosis_10,Kurtosis_11,Kurtosis_12,Kurtosis_13,Kurtosis_14,Kurtosis_15,Kurtosis_16,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Skew_9,Skew_10,Skew_11,Skew_12,Skew_13,Skew_14,Skew_15,Skew_16,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16
13.841,17.894000000000002,16.457,12.654000000000002,20.759,14.991,14.402000000000001,14.220999999999998,15.75,14.283,16.634,16.87,16.035999999999998,19.664,15.44,15.243,159,15,193,7,144,186,160,106,65,185,128,135,16,59,61,61,-12.962,-13.819,-15.673,-18.393,-19.477,-14.780999999999999,-14.772,-15.11,-17.003,-13.623,-11.890999999999998,-23.713,-15.047,-14.765999999999998,-18.016,-14.007,5.8341,5.7832,5.6941,5.9113,5.6611,5.805,5.6844,5.6421,5.7714,5.2929,5.3572,5.8905,5.6093,6.1284,6.2256,5.4917,2.6265,3.0061,2.9603,2.8211,4.0605,2.5307,2.8353,2.6726,2.9082,3.0881,2.7932,3.9161,3.0178,3.1426,3.1275,3.2087,0.12666,0.1094,0.068203,-0.1894,0.13885,0.064829,0.29812,0.04865,-0.093105,-0.12725,0.060872,-0.034229,0.20023,0.23108,-0.007962899999999998,0.45763000000000004,6.071000000000001,5.9295,5.8821,5.9371,5.6346,6.0199,6.0792,6.0126,5.9641,5.9707,5.9185,5.6963,5.9239999999999995,5.8672,5.8574,5.9578
14.866,16.186,20.969,18.756,18.11,14.524000000000001,21.092,13.823,17.462,17.854,19.418,22.409000000000002,18.447,17.1,15.592,17.23,164,35,19,116,103,138,154,36,81,58,7,111,56,9,174,25,-15.38,-18.552,-17.92,-14.927,-13.972999999999999,-15.043,-15.72,-13.174000000000001,-18.25,-13.854000000000001,-14.802999999999999,-13.783,-20.87,-14.582,-14.288,-15.696,5.5013,5.6407,6.3464,5.8416,5.8718,5.5931,6.3396,5.2823,5.8874,5.8425,5.9035,6.2584,5.9943,5.5131,5.8018,5.7906,2.8165,3.339,3.457,3.0296,3.1029,2.8234,3.5679,2.6837,3.458,2.8732,2.977,3.2652,3.3425,2.4819999999999998,2.57,3.1092,0.025533,-0.2442,0.14509,-0.04688,0.1819,-0.12507000000000001,0.38925,0.080847,-0.046560000000000004,-0.014302,0.15382,0.33296,-0.006475700000000001,0.17941,-0.13669,0.25223,5.9256,5.7866,5.8478,5.8906,5.8632,5.9393,5.8124,5.9427,5.8299,5.9215,5.8642,5.8266,5.784,5.8745,6.0258,5.8479
15.992,20.565,18.497,13.231,14.624,15.274000000000001,13.072000000000001,17.62,16.919,16.741,18.495,14.763,12.437000000000001,16.132,13.829,13.829,200,78,77,18,135,152,119,46,64,167,104,22,94,174,140,114,-16.55,-16.421,-14.312000000000001,-17.782,-18.037,-13.372,-16.474,-15.477,-15.33,-18.637,-16.485,-17.188,-14.002,-15.875,-16.175,-13.724,6.0279,6.1276,5.9352,5.5683,5.9925,6.0101,5.6938,5.8591,5.5755,6.0845,5.6435,5.4856,5.5598,6.0957,6.016,5.5991,2.998,2.8581,3.1516,3.091,2.7918,2.5185,3.0091,3.1075,2.9532,3.4303,2.8982,3.3076,2.7105,3.0845,2.5544,2.9204,-0.09232,0.047057999999999996,0.16548,-0.17847000000000002,0.035893,0.10712999999999999,-0.25059000000000003,0.18631,-0.084525,0.01123,0.19004000000000001,-0.33834000000000003,-0.085924,-0.14432999999999999,-0.060746,-0.14620999999999998,5.8861,5.8798,5.9223,5.9602,5.9147,6.0827,6.0487,5.9029,5.8637,5.8212,5.76,5.865,6.0258,5.9856,6.0286,6.1071
14.130999999999998,22.82,15.605,17.379,19.77,18.354,17.147000000000002,14.27,13.448,20.195999999999998,16.794,12.364,15.282,13.543,17.942999999999998,11.625,145,152,83,62,158,30,104,190,132,192,177,189,98,93,26,175,-14.275,-15.384,-13.929,-19.28,-15.312999999999999,-18.361,-17.062,-15.421,-18.586,-16.933,-14.827,-13.505,-17.623,-14.25,-14.241,-18.75,5.9644,5.9711,5.8818,5.6943,6.0623,6.5553,5.8488,5.5056,5.9164,6.17,5.7371,5.5068,5.8776,5.6233,6.6362,6.1559,2.5037,3.4084,3.0945,3.6091,3.0677,2.9744,2.6652,2.9806,3.265,3.68,2.7514,2.4002,2.9057,2.4367,2.6889999999999996,2.9456,0.073897,0.1778,0.07218200000000001,0.16189,0.38156999999999996,-0.057638999999999996,-0.16374,-0.069711,-0.048067,0.23354,-0.019022999999999998,-0.14587999999999998,0.1385,-0.14323,0.10835,-0.27197,6.1008,5.7669,6.0231,5.6659,5.9059,5.888999999999999,5.8288,6.0172,5.8773,5.7794,5.9606,6.1599,5.9702,5.9778,6.0864,6.0527
13.645999999999999,17.394000000000002,20.51,15.591,14.185,20.647,14.422,21.919,16.482,15.158,14.665,12.921,16.04,13.123,13.966,20.340999999999998,35,18,110,21,123,16,63,67,79,62,193,13,14,173,29,5,-15.802,-16.38,-13.382,-19.930999999999997,-12.892000000000001,-22.048000000000002,-17.434,-14.37,-19.464000000000002,-15.644,-13.700999999999999,-14.53,-17.514,-13.057,-14.103,-14.368,5.6064,5.5481,5.8404,5.754,6.0848,6.2915,5.8011,5.7107,6.4997,5.7082,5.1556,5.37,5.9643,5.2135,5.475,5.8607,2.7262,3.7451,3.1984,3.5809,2.3895,3.7507,2.8025,3.5952,3.1193,2.7299,3.1627,2.7499,2.6816,2.7598,2.8768,3.4429,-0.031149,-0.23169,0.18669000000000002,-0.099289,0.084981,-0.15042,-0.2037,0.44128999999999996,-0.25254,-0.13718,0.12425,-0.052030999999999994,0.051196,-0.09742100000000001,-0.12322999999999999,0.3877,5.9484,5.7938,5.8454,5.7078,6.1571,5.6226,6.0625,5.803,5.8307,5.9166,5.9026,6.0071,5.8946,5.9962,5.8831,5.8357
14.181,14.562000000000001,13.22,13.946,18.977,20.524,16.557000000000002,14.445,18.374000000000002,15.174000000000001,12.154000000000002,13.026,16.76,19.267,16.273,14.120999999999999,42,106,177,174,110,104,102,16,16,41,59,142,29,168,130,87,-11.519,-13.887,-13.605,-14.192,-15.335999999999999,-14.632,-16.104,-16.594,-14.365,-13.767999999999999,-15.481,-16.929000000000002,-14.49,-14.481,-17.236,-21.316999999999997,5.4202,5.5992,5.581,5.8843,5.921,5.6324,5.6926,5.6757,5.8472,5.7526,5.2102,5.8293,5.8178,6.0869,6.1167,5.4822,2.441,2.8019,2.6639,2.7625,3.2972,3.1371,3.1651,2.9895,2.9691,2.5577,3.1004,2.4927,3.0231,2.9079,3.0301,3.6689999999999996,0.16984000000000002,-0.042181,-0.04797,-0.020250999999999998,0.14382999999999999,0.13330999999999998,0.070121,-0.21039000000000002,0.26266,-0.15491,-0.09374500000000001,-0.0074616,0.27610999999999997,0.42183000000000004,-0.17373,-0.31535,6.1107,6.0444,6.1199,6.1469,5.8491,5.7633,5.8727,5.9005,5.9589,5.9771,5.9664,6.0173,6.0308,5.8714,5.9696,5.6911
18.774,16.215,10.972999999999999,14.263,14.184000000000001,11.572000000000001,22.559,15.436,13.850999999999999,15.956,17.793,18.335,17.727,19.29,18.329,13.890999999999998,152,136,26,60,149,1,67,114,196,195,161,195,186,166,148,170,-13.98,-14.844000000000001,-18.991,-13.905,-16.832,-15.009,-12.003,-16.822,-12.885,-17.371,-14.557,-16.273,-15.130999999999998,-16.382,-14.469000000000001,-13.206,6.1888,5.8539,5.4065,5.5608,6.0047,5.7228,5.2443,5.9918,5.5865,5.5024,5.9924,5.6417,5.7155,6.2973,5.9142,5.6007,2.8453,2.8395,2.8587,2.8284,2.8273,2.7028,3.8058,2.9887,2.6151,3.7716,3.0345,3.2078,2.9728,3.3552,3.0527,2.7387,0.11922,-0.16463,-0.21591,0.22924,-0.002038,-0.24068,0.25213,-0.078057,0.032924,-0.12477,0.2009,0.06534,0.024677,-0.018966,0.014785,-0.18529,5.9339,5.9928,5.9039,5.8739,6.0314,6.0848,5.6886,5.9048,6.0811,5.8018,5.9503,5.8712,5.936,5.8207,5.8109,5.987
14.852,16.761,16.52,19.996,19.414,12.419,15.251,19.15,18.375,15.013,14.715,15.069,13.337,18.789,15.257,18.018,89,46,81,121,161,118,95,82,102,72,123,163,92,156,171,140,-16.302,-16.902,-18.250999999999998,-21.182,-17.78,-13.273,-17.463,-15.315999999999999,-13.35,-18.563,-15.225,-13.023,-18.807000000000002,-13.657,-16.563,-14.918,5.7721,5.4031,5.7642,6.0311,6.3008,5.5847,5.7611,6.0309,6.305,6.0091,5.7905,5.3091,5.6587,6.001,5.7749,5.9007,2.8822,3.656,3.3021,3.3383,3.4264,2.4788,2.8618,3.3363,2.526,2.9484,2.6067,2.7768,3.0454,2.9591,3.0980000000000003,2.9842,-0.040601,0.16934000000000002,0.09100499999999999,0.10479000000000001,0.061991,0.03828,-0.0035213,0.3112,0.10115,0.050457,-0.1308,-0.14601,-0.13716,0.099578,0.015786,0.049906,5.9903,5.7158,5.8733,5.61,5.7119,6.1883,5.8692,5.9268,6.0063,5.8487,6.0246,5.9802,5.8021,5.9173,6.0039,5.9588
18.764,16.516,13.62,15.607000000000001,15.722000000000001,15.873,13.593,14.874,16.165,15.052,14.243,14.579,16.185,18.701,15.455,15.970999999999998,181,40,73,141,102,77,147,72,12,14,49,171,60,111,162,45,-17.19,-19.972,-17.399,-15.015999999999998,-20.589000000000002,-18.099,-12.767000000000001,-15.355,-14.703,-20.953000000000003,-15.722000000000001,-16.079,-17.1,-14.556,-16.317,-15.199000000000002,6.186,6.0968,6.0169,5.4687,6.3885,5.8383,5.6231,6.0084,5.6624,6.2291,5.6492,5.6828,6.1083,6.1962,5.6677,5.94,3.2081,3.1296,2.7671,3.1201,3.0269999999999997,3.2061,2.7456,2.8708,2.648,2.9074,2.792,3.4317,2.8302,2.5594,2.8559,2.6895,-0.11792000000000001,-0.24388,-0.10127,-0.014724000000000001,-0.31014,-0.12070999999999998,0.18964,-0.13169,0.039376,-0.29945,-0.060952,-0.013647999999999999,-0.17384000000000002,-0.0021921999999999996,-0.096014,0.00050451,5.8508,5.8371,5.9981,5.9052,5.8606,5.7704,6.1586,6.0360000000000005,5.9882,5.8813,6.0461,5.9373,5.9262,5.965,5.8512,6.0307
15.812000000000001,14.706,21.43,17.048,17.688,13.092,15.94,13.427,15.765,12.958,17.822,14.610999999999999,14.460999999999999,15.415999999999999,16.105999999999998,14.421,199,30,165,143,173,171,135,108,115,61,155,151,94,114,169,132,-15.514000000000001,-12.508,-18.795,-16.959,-13.618,-16.099,-14.763,-12.604000000000001,-15.126,-17.066,-14.359000000000002,-14.630999999999998,-11.030999999999999,-17.439,-17.842,-18.162,5.7749,5.3243,5.612,5.4525,5.6821,5.6027,5.5891,5.5287,5.8114,5.8629999999999995,5.6149,5.9215,5.7222,6.0265,5.8855,6.0643,2.8789,2.7864,4.0639,3.238,3.4045,2.4779,3.1983,2.7395,2.6282,2.8749,3.3094,2.9331,2.2443,2.9994,3.0963,2.9052,-0.078963,0.18031,0.01261,0.089436,0.27113000000000004,-0.14941,0.35594000000000003,0.29306,0.059164999999999995,-0.013748,0.13799,-0.069787,0.014646000000000001,-0.21681999999999998,0.029545,-0.044759,6.0203,6.0126,5.6348,5.6832,5.9388,6.066,5.8941,6.1121,6.0167,5.992999999999999,5.8839,6.0443,6.1588,5.9742,5.8918,5.9608
