Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,Max_13,Max_14,Max_15,Max_16,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_14,RMS_15,RMS_16,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Kurtosis_9,Kurtosis_10,Kurtosis_11,Kurtosis_12,Kurtosis_13,Kurtosis_14,Kurtosis_15,Kurtosis_16,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Skew_9,Skew_10,Skew_11,Skew_12,Skew_13,Skew_14,Skew_15,Skew_16,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16
7.0641,4.8198,4.9639,4.7691,6.9062,6.779,4.2955,5.0614,4.5881,4.7222,5.9373,4.6633,4.4895,5.0537,4.4449,4.401,117,22,59,58,13,114,113,62,6,147,159,60,173,157,60,86,-4.8123,-3.8834,-4.7889,-4.8291,-4.2107,-5.4309,-5.6473,-5.3529,-6.1331,-5.0679,-6.2668,-4.3836,-4.8449,-5.8275,-4.7305,-4.2329,1.8589,1.8565,1.9608,1.8345,1.8008,1.9515,1.7535,1.9497,1.9534,1.8876,1.8362,1.7711,1.9229,1.9155,1.7796,1.7605,3.8239,2.3831,2.6525,2.7215,3.3402,3.7417,3.0048,3.0204,3.062,2.9426,3.7207,2.7305,2.4888,3.1362,2.7215,2.6589,0.38782,0.17082,0.067889,0.028768000000000002,0.17748,0.10697000000000001,-0.043808,-0.020933,-0.34017,0.015529,-0.38498000000000004,-0.10590999999999999,0.018224,-0.11667000000000001,-0.20305,0.099223,6.781000000000001,7.0737,7.0999,6.9438,6.8082,6.8513,6.8886,6.961,6.9337,7.0988,6.8336,7.0007,7.0174,6.9312,7.0561,7.0512
5.6597,5.6753,5.0533,5.5813,5.6609,4.9001,5.3686,6.1199,4.2911,4.4843,5.2725,6.5187,4.2478,4.7115,5.4707,6.5238,58,105,62,159,58,58,58,58,59,11,63,199,61,60,122,176,-4.9618,-5.5799,-5.718,-4.4597,-4.8598,-4.865,-4.838,-4.3122,-5.027,-8.228,-4.4318,-4.5913,-5.4296,-5.7524,-5.3088,-4.2857,1.7968,2.0233,1.9616,1.8111,1.9574,1.6343,1.8007,1.8228,1.8265,1.8799,1.8232,1.8302,1.9613,1.7019,1.7451,1.7845,2.9394,2.6738,2.9091,3.0877,2.9560000000000004,3.3124,2.977,3.2825,2.5477,4.9581,2.846,3.5088,2.775,3.2885,3.2324,3.468,-0.15617,0.15411,0.05612999999999999,0.16994,0.13985999999999998,0.18596,0.23460999999999999,0.20600000000000002,0.012685,-0.8266899999999999,0.041678,0.16047999999999998,-0.19824,-0.092373,-0.12650999999999998,0.064913,6.8962,6.8723,6.9461,6.921,6.9494,6.9086,6.9761,6.871,7.1237,6.8405,7.0474,6.8772,6.9943,6.9723,6.7638,6.8262
5.3333,3.6228,6.0363,6.1601,6.182,7.0462,5.5847,4.3239,4.3383,5.6939,4.0254,6.837999999999999,6.5571,4.7421,6.3607,4.3755,138,123,14,58,58,59,59,24,60,60,60,60,163,145,60,181,-4.6703,-4.8536,-5.5654,-5.3238,-6.3276,-4.0298,-6.869,-4.7842,-4.3097,-5.2085,-5.0889,-4.6452,-3.8998,-3.8172,-5.3975,-5.2601,1.8769,1.835,2.0805,2.0045,1.881,1.8543,1.9137,1.9363,1.7672,1.8415,1.8279,1.7547,1.8589,1.7632,1.9804,1.8133,2.9867,2.5011,3.0528,3.1852,3.6502,3.1094,3.5872,2.4718,2.537,3.1436,2.5859,3.7689,3.0155,2.265,3.0124,2.7465,0.1364,-0.1658,0.18795,0.033053,-0.10941,0.093779,-0.1967,-0.12055999999999999,-0.080416,-0.071514,-0.10222,0.14570999999999998,0.38685,0.067524,-0.06604199999999999,-0.14544,7.1012,7.0688,7.0537,6.9107,6.8605,6.9561,6.8686,7.0937,7.1012,6.9499,6.9856,6.8161,6.9648,7.0261,6.9237,6.9623
5.9031,5.2006,5.6064,5.1642,4.263999999999999,6.2683,5.3618,5.0299,6.0042,8.0958,4.8062,4.3245,5.3596,7.1439,5.0415,4.2749,59,58,58,20,129,58,59,68,62,60,61,110,63,60,60,157,-5.1729,-4.8894,-4.5225,-4.6974,-6.8411,-5.1575,-5.9579,-5.1108,-5.0242,-5.2739,-5.4766,-4.7105,-4.7389,-5.3584,-4.9869,-3.5865,2.0239,1.9321,1.7890000000000001,1.7262,1.7739,1.9273,2.0165,1.9375,1.8516,1.9542,1.8137,1.6583,1.9889,1.9721,1.9043,1.7796,2.9958,2.6119,3.092,2.9834,3.592,3.4487,3.0602,2.7998,3.0841,4.3811,2.8356,2.7141,2.6299,3.0931,2.9265,2.5104,0.15298,0.016943,0.20708000000000001,0.1089,-0.28181999999999996,0.35164,-0.089091,0.17689000000000002,0.26086,0.40460999999999997,-0.09642300000000001,0.1633,0.1581,0.061411,-0.050395999999999996,0.10365,7.0181,7.0423,6.9218,6.9418,6.8343,6.921,6.8776,6.9737,6.8605,6.7597,6.9043,6.9837,7.0523,6.8643,7.0337,7.0712
4.8002,6.2553,6.3977,5.8496,5.757000000000001,6.3224,7.4448,4.6579,5.5357,8.0685,5.7708,4.4139,6.4163,5.5877,5.377999999999999,5.1835,188,58,58,58,58,32,58,153,168,61,93,34,146,28,171,182,-5.3309,-5.0674,-4.6587,-6.6535,-5.1764,-3.9594,-4.3226,-4.7094,-5.0682,-5.7944,-4.5153,-5.1236,-5.2449,-4.3839999999999995,-5.6356,-6.8917,1.9040000000000001,1.8558,1.8782,1.9351,2.0764,1.7511,1.8823,1.7659,1.9424,1.8689,1.9252,1.9226,1.9953,1.9084,1.8801,1.9167,2.9298,3.6017,3.3164,3.636,2.7746,3.6869,3.5573,2.8808,3.073,4.369,2.7233,2.8089,3.1163,2.8169999999999997,3.3476,3.3760000000000003,-0.22516,0.16072,0.28454,0.014872,0.021247,0.48828999999999995,0.082978,-0.15773,0.14832,0.29608,-0.06773,-0.099267,0.16492,-0.077894,-0.27566,-0.16527,6.9656,7.0212,6.9086,6.8567,7.0212,6.8656,6.8943,6.9551,7.015,6.6893,6.8818,7.0212,6.9989,7.0118,6.9318,6.8418
3.8622,4.9591,6.5465,4.8505,8.4624,7.0766,5.6727,6.5672,4.9942,4.8775,4.192,6.8982,5.2467,5.5095,5.2644,3.9610000000000003,58,38,58,104,58,181,57,58,151,106,63,60,105,138,11,109,-4.7641,-5.3041,-4.9206,-5.3625,-6.1989,-7.2772,-4.4003,-5.1467,-6.353,-5.8815,-5.0959,-5.3023,-5.0865,-4.7062,-4.2727,-5.1242,1.7774,1.7999,1.8831,1.8709,1.9081,1.9529,1.9501,1.8948,2.0848,1.8264,1.8924,1.8908,1.8506,1.9796,1.8042,1.7892,2.8069,3.339,3.3307,3.0460000000000003,4.7496,4.343,2.6593,3.2787,2.9339,3.174,2.6009,3.4621,3.0076,2.5577,2.8916,2.5955,0.0089055,-0.12966,-0.07081900000000001,0.013565,0.41367,0.17487,0.071777,0.25524,-0.20956,-0.22358000000000003,0.016816,0.16013,0.1963,0.028485000000000003,0.15500999999999998,-0.18273,6.9267,7.0432,6.9261,7.0123,6.7097,6.8286,7.0361,6.8805,7.0994,6.9,7.0399,6.8661,6.9694,7.0274,6.95,6.9461
6.571000000000001,5.0552,7.6226,6.8835,4.9453,5.6297,4.364,4.1751,5.5212,5.6728,5.4,5.8054,4.6162,4.7931,4.7812,4.8087,58,57,59,58,59,185,105,120,119,134,61,60,60,140,111,112,-5.5735,-4.1475,-5.4982,-5.2868,-6.1736,-6.2428,-4.4074,-4.9437,-6.1160000000000005,-4.7909,-5.8014,-5.778,-4.5233,-4.3979,-4.4565,-4.7167,1.9577,1.8697,1.845,2.0337,1.9713,1.8286,1.7243,2.0559,1.8882,1.9669999999999999,1.7755,1.9905,1.6883,1.7767,1.7904,1.94,3.5175,2.6263,4.4663,3.2555,2.7576,3.6828,2.6768,2.605,3.3354,2.9498,2.9685,3.0362,2.9161,2.9941,2.585,2.7285,-0.13155999999999998,0.2174,0.25686,0.2229,-0.11992,-0.031878,-0.22595,-0.31609,-0.13633,-0.054720000000000005,0.026806,-0.10775,-0.0032561,-0.12757000000000002,0.062653,-0.08387599999999999,6.8557,7.0548,6.7749,6.893,6.9656,6.9105,7.0861,7.115,6.8372,7.0181,6.9062,6.9823,7.0361,7.0181,6.9994,7.0512
5.5028,4.7145,6.1973,5.8012,4.6834,6.0017,4.2653,6.8305,4.891,4.6601,7.2103,4.1818,5.7653,6.1261,7.185,4.5944,148,63,58,58,58,90,149,58,174,83,59,2,60,172,16,46,-4.2239,-6.1669,-5.9194,-5.2605,-6.1528,-6.0422,-4.8656,-6.0033,-4.743,-5.4308,-4.2722,-5.4206,-4.5327,-5.1079,-5.1383,-5.1693,1.8615,1.9262,1.9086,1.9852,1.9608,2.037,1.7522,1.8892,1.8584,1.7772,1.8138,1.8855,1.8928,2.1084,1.9922,1.8334,2.7135,2.9843,3.7458,3.0296,2.946,3.0679,2.8242,3.75,2.7981,3.1878,3.8273,2.6374,2.7266,3.0747,3.5561,2.7164,0.11599999999999999,0.10497000000000001,-0.092795,0.054027,-0.1324,-0.0055135,-0.15473,0.027451,0.064591,-0.059733,0.32806,-0.1136,0.089784,0.021985,0.31713,-0.064459,6.9812,7.0499,6.7982,6.9618,6.9735,6.9361,6.9499,6.843,6.9874,6.9932,6.8474,7.0348,6.9643,7.0061,6.8062,7.0599
8.4051,4.7188,7.4817,5.8117,4.9354,7.3547,4.4443,5.3086,4.8255,7.4007,4.3204,5.2965,4.4387,4.8852,4.8557,4.4768,58,82,58,71,119,57,88,106,33,60,150,60,24,27,81,3,-5.5545,-4.7953,-4.2012,-5.9377,-3.2741,-6.6894,-4.6154,-4.331,-4.7356,-4.919,-4.2602,-6.8389999999999995,-4.9751,-6.695,-5.0883,-4.0954,1.913,1.8489,1.9581,1.8654,1.6632,2.0242,1.7695,1.7561,1.9035,1.9327,1.8816,1.8901,1.8912,1.8308,1.8809,1.7661,4.8396,2.6475,2.9905,3.2442,2.9553,4.3381,2.7666,2.8448,2.8222,4.1653,2.4922,3.2802,2.7538,3.4372,2.7148,2.7186,0.5834,0.095587,0.2635,0.0021441,0.40531,0.43373999999999996,0.066092,0.24345999999999998,0.097697,0.19236,0.014863999999999999,0.10563,-0.01681,-0.065116,-0.043005,0.24069000000000002,6.7172,7.0699,6.9737,6.9043,7.0361,6.8486,7.0438,6.9661,7.0637,6.7962,7.0561,6.8623,7.0361,6.8962,7.035,6.9756
5.457000000000001,5.1638,6.6118,5.0795,4.8496,4.7909,4.4149,5.1468,5.3962,6.6135,6.3425,4.6791,5.2294,5.4491,4.4769,5.9028,199,194,59,68,58,135,59,136,60,60,60,60,37,61,176,186,-6.2364,-5.4462,-6.5507,-5.3465,-5.7328,-4.5223,-4.9353,-4.6037,-4.2813,-4.2715,-4.9128,-3.8101,-5.0152,-6.0129,-4.6289,-5.5652,1.7454,1.9811,1.8530000000000002,1.8125,1.8532,1.9146,1.7808,1.7298,2.0129,1.7933,1.6938,1.6381,1.7685,1.9056,1.7808,1.9663,4.0431,3.2364,3.7557,2.9277,2.8629,2.8664,2.8786,2.8686,2.9225,3.2479,3.5777,3.0212,3.2468,3.4815,2.75,3.0018,0.22207,-0.22519,0.31828,0.086871,0.0037119999999999996,0.0045172,0.057623,0.27458,0.35472,0.047487,0.12247999999999999,-0.005280300000000001,0.17956,-0.2761,-0.15542999999999998,0.17749,6.9223,6.9823,6.7126,6.8956,6.9167,6.9599,7.0737,6.8886,7.0561,6.8856,6.7882,6.9318,6.8899,6.8937,7.0223,7.0561
