Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,Kurtosis_1,Kurtosis_2,Kurtosis_3,Kurtosis_4,Kurtosis_5,Kurtosis_6,Kurtosis_7,Kurtosis_8,Skew_1,Skew_2,Skew_3,Skew_4,Skew_5,Skew_6,Skew_7,Skew_8,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8
24.596,35.227,25.533,28.705,31.026,26.695,21.641,38.917,171,25,33,6,4,66,99,19,-30.996,-32.966,-31.461,-32.181999999999995,-33.45,-31.576,-33.088,-30.765,11.373,11.854000000000001,10.948,11.187000000000001,11.897,11.110999999999999,10.765999999999998,11.012,2.6063,3.3074,2.7098,2.8732,2.748,2.7931,2.8085,3.264,-0.041583999999999996,0.021575,-0.2051,-0.18775,-0.11753,-0.10288,-0.16039,0.13377999999999998,5.7327,5.425,5.6232,5.4479999999999995,5.5582,5.6257,5.6878,5.4172
27.861,26.125,33.269,25.912,30.178,30.156999999999996,37.124,31.094,37,1,120,177,142,27,122,32,-25.964000000000002,-34.384,-31.045,-27.491,-30.679000000000002,-36.801,-36.141999999999996,-31.506999999999998,11.040999999999999,11.499,10.963,11.203,11.626,11.293,11.448,12.012,2.5743,2.7411,3.0656,2.7083,3.016,2.9921,3.3661,2.823,-0.059024,-0.1696,0.18259,-0.13609000000000002,0.2296,0.032003,-0.27599,0.061121,5.7548,5.6634,5.4583,5.7992,5.5915,5.4749,5.2937,5.6286
29.421,34.749,34.296,33.497,27.531,27.818,34.014,27.936999999999998,21,171,140,68,22,173,61,175,-31.666999999999998,-27.289,-34.968,-35.225,-30.88,-37.898,-30.688000000000002,-28.244,10.687000000000001,11.817,11.875,11.624,10.809000000000001,11.812999999999999,11.409,11.241,3.0334,2.8913,3.1708,3.2101,3.1665,3.0084,2.9169,2.8918,0.028767,0.17842,0.060739999999999995,-0.052320000000000005,-0.14321,0.014816999999999999,0.065287,-0.077841,5.4438,5.6505,5.5252,5.502000000000001,5.5815,5.5305,5.4889,5.6004
34.843,39.333,27.179000000000002,29.62,30.927,31.12,26.743000000000002,25.701,61,169,50,185,58,25,164,195,-37.328,-30.737,-29.686,-28.092,-24.116999999999997,-24.092,-33.872,-22.804000000000002,11.964,11.432,10.147,10.783,10.818,10.435,11.559000000000001,10.466,3.13,2.9665,2.7905,3.1774,2.9844,3.0993,2.6024,2.5667,-0.27174,0.13297,-0.011207,-0.18817,0.098202,0.28602,-0.022969999999999997,0.18316,5.4451,5.43,5.5022,5.5596,5.6754,5.5901,5.5728,5.8383
37.082,28.875999999999998,34.106,29.284000000000002,26.141,27.44,24.811999999999998,34.365,155,49,126,77,160,168,41,86,-36.027,-33.792,-27.767,-23.061999999999998,-35.933,-24.178,-33.565,-37.67,12.777999999999999,11.293,10.788,10.974,11.77,10.963,10.807,12.329,2.9205,3.0643,3.1732,2.5219,2.966,2.6447,3.238,3.0731,-0.08680399999999999,-0.27862,0.23804,0.15763,-0.25371,0.010645,-0.043976999999999995,-0.067361,5.5898,5.5306,5.4742,5.7642,5.6139,5.8176,5.5349,5.4852
37.804,24.67,31.735,40.904,26.796,28.136,27.497,37.76,111,72,109,122,125,74,75,30,-24.803,-29.608,-30.296999999999997,-43.088,-32.747,-26.448,-31.035999999999998,-33.992,11.424000000000001,10.79,11.162,11.722999999999999,11.827,11.722000000000001,11.289000000000001,11.265,2.9088,2.6728,3.0057,4.0542,2.7375,2.4784,2.7987,3.17,0.26625,-0.13813,-0.15383,-0.08242100000000001,-0.07537200000000001,0.036657,0.036822,-0.08692799999999999,5.5833,5.7413,5.5361,5.1818,5.7132,5.7773,5.6811,5.3606
29.497,31.499000000000002,38.04,29.75,37.745,29.962,30.576,32.367,45,128,158,122,122,197,6,183,-28.651,-31.168000000000003,-31.809,-27.288,-23.621,-26.151,-24.261,-29.39,12.105,11.935,11.69,11.556,11.299000000000001,11.200999999999999,10.574000000000002,11.13,2.7135,2.6660000000000004,3.1404,2.6743,2.8139,2.864,2.7283,3.1532,0.047276,0.038686,-0.20024,-0.044453,0.22219,0.18048,0.16082,0.09497699999999999,5.7676,5.6441,5.5248,5.6974,5.559,5.5792,5.6258,5.5151
33.623000000000005,31.194000000000003,32.791,40.834,27.204,43.0,37.225,27.55,95,154,143,109,96,84,184,98,-31.41,-32.546,-26.819000000000003,-26.754,-36.141,-32.897,-30.101999999999997,-27.250999999999998,10.23,11.296,10.626,10.71,11.203,11.265,11.85,10.618,3.5073,3.242,2.9261,3.3971,2.9893,3.9918,2.9959,2.5649,-0.013099000000000001,-0.26063000000000003,-0.030994999999999998,0.3198,-0.2068,0.45636000000000004,0.16732,-0.1547,5.3381,5.5359,5.5541,5.414,5.4831,5.3020000000000005,5.5155,5.6559
35.816,27.776999999999997,28.893,31.351,28.304000000000002,25.015,27.401999999999997,24.311,60,57,145,86,148,198,39,191,-30.674,-31.308000000000003,-29.811999999999998,-35.885,-34.799,-26.153000000000002,-33.496,-37.317,10.049,10.645,11.765,11.244000000000002,11.433,9.748,11.989,11.104000000000001,3.806,3.157,2.8682,3.2026,3.1308,2.7589,2.9521,3.0829,0.13229000000000002,0.040299,-0.11362,-0.14847,-0.20356,-0.074186,0.13514,-0.36826,5.3357,5.5925,5.6598,5.4791,5.5553,5.6219,5.6587,5.5484
27.576,32.431999999999995,24.959,27.811999999999998,50.89,26.142,30.82,32.765,136,71,136,120,20,166,61,180,-25.212,-24.866999999999997,-26.774,-27.865,-30.813000000000002,-35.283,-27.427,-30.678,11.329,11.24,10.335,10.517999999999999,12.285,11.9,11.644,12.365,2.4772,2.6628,2.8736,2.906,3.5980000000000003,2.7236,2.6746,2.6629,0.18483,0.15225999999999998,0.083772,0.15795,0.16729000000000002,-0.13794,0.009218899999999999,-0.069844,5.7884,5.5702,5.705,5.6587,5.3644,5.6574,5.6263,5.7072
